"ORDEN","FECHA_ORDEN","FECHA_DESPACHO","ANO_ORDEN","TIPO_DESPACHO","CLIENTE","SEGMENTO","PAIS","CIUDAD","ESTADO","REGION","IDPRODUCTO","CATEGORIA","SUBCATEGORIA","NOMBRE_PRODUCTO","VENTAUSD","CANTIDAD","DESCUENTO","UTILIDAD_EMPRESA"
"CA-2016-152156-1","11/8/16","11/11/16",2016,"Second Class","Claire Gute","Consumer","United States","Henderson","Kentucky","South","FUR-BO-10001798","Furniture","Bookcases","Bush Somerset Collection Bookcase",261.96,2,0,41.9136
"CA-2016-152156-2","11/8/16","11/11/16",2016,"Second Class","Claire Gute","Consumer","United States","Henderson","Kentucky","South","FUR-CH-10000454","Furniture","Chairs","Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3,0,219.582
"CA-2016-138688-3","6/12/16","6/16/16",2016,"Second Class","Darrin Van Huff","Corporate","United States","Los Angeles","California","West","OFF-LA-10000240","Office Supplies","Labels","Self-Adhesive Address Labels for Typewriters by Universal",14.62,2,0,6.8714
"US-2015-108966-4","10/11/15","10/18/15",2015,"Standard Class","Sean O'Donnell","Consumer","United States","Fort Lauderdale","Florida","South","FUR-TA-10000577","Furniture","Tables","Bretford CR4500 Series Slim Rectangular Table",957.5775,5,0.45,-383.031
"US-2015-108966-5","10/11/15","10/18/15",2015,"Standard Class","Sean O'Donnell","Consumer","United States","Fort Lauderdale","Florida","South","OFF-ST-10000760","Office Supplies","Storage","Eldon Fold 'N Roll Cart System",22.368,2,0.2,2.5164
"CA-2014-115812-6","6/9/14","6/14/14",2014,"Standard Class","Brosina Hoffman","Consumer","United States","Los Angeles","California","West","FUR-FU-10001487","Furniture","Furnishings","Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,0,14.1694
"CA-2014-115812-7","6/9/14","6/14/14",2014,"Standard Class","Brosina Hoffman","Consumer","United States","Los Angeles","California","West","OFF-AR-10002833","Office Supplies","Art","Newell 322",7.28,4,0,1.9656
"CA-2014-115812-8","6/9/14","6/14/14",2014,"Standard Class","Brosina Hoffman","Consumer","United States","Los Angeles","California","West","TEC-PH-10002275","Technology","Phones","Mitel 5320 IP Phone VoIP phone",907.152,6,0.2,90.7152
"CA-2014-115812-9","6/9/14","6/14/14",2014,"Standard Class","Brosina Hoffman","Consumer","United States","Los Angeles","California","West","OFF-BI-10003910","Office Supplies","Binders","DXL Angle-View Binders with Locking Rings by Samsill",18.504,3,0.2,5.7825
"CA-2014-115812-10","6/9/14","6/14/14",2014,"Standard Class","Brosina Hoffman","Consumer","United States","Los Angeles","California","West","OFF-AP-10002892","Office Supplies","Appliances","Belkin F5C206VTEL 6 Outlet Surge",114.9,5,0,34.47
"CA-2014-115812-11","6/9/14","6/14/14",2014,"Standard Class","Brosina Hoffman","Consumer","United States","Los Angeles","California","West","FUR-TA-10001539","Furniture","Tables","Chromcraft Rectangular Conference Tables",1706.184,9,0.2,85.3092
